Branch_ID,Branch_Name,Relationship_Manager_ID,Relationship_Manager_Name,Month,Total_Deposits,Loan_Approvals,Revenue_Growth,Customer_Satisfaction_Score
32,Lekki_Branch,108,David Brown,01/01/2023,110581.65,79,13.72,9.7
42,Freedom_park_Branch,139,Sarah Lee,02/01/2023,364489.32,118,6.43,7.7
33,Ogba_Branch,3,Michael Johnson,03/01/2023,744547.1,102,-4.27,7.8
6,Ikota_Branch,69,Emily Davis,04/01/2023,172220.07,62,11.6,5.2
49,Oba_AkranBranch,92,Michael Johnson,05/01/2023,209537.3,90,2.13,9.2
45,Yaba_Branch,6,Michael Johnson,06/01/2023,407427.85,79,-4.61,7.6
28,Victoria_Island_Branch,20,Sarah Lee,07/01/2023,175539.48,154,14.01,5.9
30,Allen_Branch,148,John Smith,08/01/2023,473220.32,184,10.62,5.6
15,Computer_Village_Branch,15,Michael Johnson,09/01/2023,935088.21,77,11.75,5.3
4,Ojodu_Branch,80,Sarah Lee,10/01/2023,241115.28,93,4.27,6.7
33,Computer_Village_Branch,84,Michael Johnson,11/01/2023,830260.85,115,5.53,10.0
48,Agege_Branch,141,Sarah Lee,12/01/2023,648479.38,185,-1.23,6.5
16,Badore_Branch,114,John Smith,13/01/2023,946762.36,138,11.79,7.8
45,Freedom_park_Branch,131,Sarah Lee,14/01/2023,206980.53,139,4.89,8.6
39,Freedom_park_Branch,106,John Smith,15/01/2023,106340.51,95,9.54,5.7
47,Ilupeju_Branch,40,Sarah Lee,16/01/2023,805934.46,156,4.53,5.2
33,Freedom_park_Branch,92,Michael Johnson,17/01/2023,395478.47,161,8.79,6.3
11,Allen_Branch,115,David Brown,18/01/2023,571605.63,108,5.2,9.4
33,Agege_Branch,145,David Brown,19/01/2023,991920.62,146,-3.25,9.0
33,Ilupeju_Branch,32,Sarah Lee,20/01/2023,208127.67,109,11.64,8.7
14,Badore_Branch,92,Sarah Lee,21/01/2023,808345.28,147,-3.35,7.2
27,Oba_AkranBranch,116,Michael Johnson,22/01/2023,928390.6,122,3.27,5.7
44,Obalende_Branch,23,John Smith,23/01/2023,981016.56,184,1.29,5.8
14,Oba_AkranBranch,84,David Brown,24/01/2023,365498.49,132,3.53,5.7
36,Computer_Village_Branch,9,John Smith,25/01/2023,406484.86,63,2.45,7.7
3,Badagry_Branch,120,Sarah Lee,26/01/2023,512055.08,135,18.56,8.9
33,Oba_AkranBranch,45,John Smith,27/01/2023,667779.58,161,7.5,10.0
29,Ogba_Branch,131,Emily Davis,28/01/2023,766323.65,67,16.38,5.3
27,Badagry_Branch,34,David Brown,29/01/2023,476518.2,142,13.95,6.7
35,Ojodu_Branch,42,David Brown,30/01/2023,566240.9,181,12.02,6.6
20,Agege_Branch,88,David Brown,31/01/2023,797204.64,137,19.23,7.5
49,Ojodu_Branch,131,John Smith,01/02/2023,792584.13,132,12.61,6.9
31,Ikoyi_Branch,6,Sarah Lee,02/02/2023,783023.46,125,-3.14,6.1
30,Victoria_Island_Branch,22,Emily Davis,03/02/2023,325552.81,120,16.6,5.8
14,Ikeja_Branch,59,John Smith,04/02/2023,345748.48,140,10.36,9.6
8,Agege_Branch,79,Sarah Lee,05/02/2023,852407.69,138,18.63,9.7
43,Ojodu_Branch,55,Michael Johnson,06/02/2023,388254.96,160,19.35,5.2
26,Ojodu_Branch,121,Emily Davis,07/02/2023,418411.98,66,14.92,5.5
9,Surulere_Branch,28,Emily Davis,08/02/2023,593765.59,148,9.25,8.8
40,Ojodu_Branch,13,Emily Davis,09/02/2023,437143.21,52,10.65,7.8
29,Freedom_park_Branch,2,Michael Johnson,10/02/2023,449093.09,174,19.77,5.5
25,Surulere_Branch,69,John Smith,11/02/2023,514928.12,55,0.71,8.0
32,Marina_Branch,85,Michael Johnson,12/02/2023,671759.86,120,2.23,9.1
47,Victoria_Island_Branch,3,John Smith,13/02/2023,650392.51,63,2.8,5.6
14,Ikeja_Branch,64,David Brown,14/02/2023,811006.47,183,18.66,7.6
18,Badore_Branch,15,Sarah Lee,15/02/2023,103382.36,123,3.04,9.7
34,Oba_AkranBranch,79,Sarah Lee,16/02/2023,882464.56,188,4.67,8.2
23,Yaba_Branch,40,John Smith,17/02/2023,362997.37,189,17.74,6.8
1,Agege_Branch,85,Sarah Lee,18/02/2023,997969.53,70,10.1,9.6
21,Agege_Branch,4,John Smith,19/02/2023,168190.3,111,19.39,5.1
1,Allen_Branch,72,David Brown,20/02/2023,607890.08,102,18.23,9.3
42,Ikoyi_Branch,86,John Smith,21/02/2023,603462.07,167,0.72,8.5
19,Ikota_Branch,99,Michael Johnson,22/02/2023,382393.17,187,-0.54,9.4
11,Ikota_Branch,60,Michael Johnson,23/02/2023,605123.19,146,2.78,7.7
3,Agege_Branch,114,John Smith,24/02/2023,706664.07,131,-4.26,7.0
25,Ojodu_Branch,56,David Brown,25/02/2023,262097.8,160,-3.78,8.2
31,Victoria_Island_Branch,6,Emily Davis,26/02/2023,514091.8,108,-2.68,6.5
19,Victoria_Island_Branch,113,David Brown,27/02/2023,905201.3,143,13.01,7.8
3,Allen_Branch,13,Michael Johnson,28/02/2023,474038.07,110,12.11,6.7
26,Ikoyi_Branch,134,John Smith,01/03/2023,372920.48,132,14.98,9.5
9,Agege_Branch,36,David Brown,02/03/2023,131281.97,53,4.42,5.3
28,Ajah_Branch,114,Sarah Lee,03/03/2023,848081.63,102,17.32,5.7
44,Ajah_Branch,21,Michael Johnson,04/03/2023,668633.83,112,8.06,7.5
36,Ajah_Branch,82,Michael Johnson,05/03/2023,791252.36,71,18.41,8.9
25,Ojodu_Branch,121,David Brown,06/03/2023,904191.86,66,17.87,6.8
38,Yaba_Branch,2,John Smith,07/03/2023,676365.45,182,3.96,9.1
36,Ojodu_Branch,90,Sarah Lee,08/03/2023,585464.2,70,2.81,7.1
17,Oba_AkranBranch,115,Michael Johnson,09/03/2023,311098.75,118,0.27,5.2
34,Ikota_Branch,34,Michael Johnson,10/03/2023,313007.23,165,12.42,6.5
19,Yaba_Branch,39,David Brown,11/03/2023,683535.17,89,18.02,7.2
11,Badore_Branch,53,Michael Johnson,12/03/2023,546868.96,121,6.23,6.5
17,Computer_Village_Branch,25,Emily Davis,13/03/2023,521017.06,120,18.57,8.6
7,Ikeja_Branch,48,John Smith,14/03/2023,140086.71,75,-4.89,5.3
38,Allen_Branch,103,Michael Johnson,15/03/2023,833570.96,105,0.59,7.4
37,Ogba_Branch,108,John Smith,16/03/2023,814464.69,127,-3.26,5.6
44,Badore_Branch,44,Emily Davis,17/03/2023,828990.29,51,0.28,7.8
2,Ikoyi_Branch,97,Emily Davis,18/03/2023,557859.7,104,-4.04,6.6
37,Ilupeju_Branch,90,John Smith,19/03/2023,488296.77,103,4.63,5.2
35,Ogba_Branch,5,David Brown,20/03/2023,803348.4,62,6.22,9.6
17,Yaba_Branch,10,John Smith,21/03/2023,512002.88,120,19.95,5.4
23,Surulere_Branch,116,Michael Johnson,22/03/2023,569223.11,99,13.25,6.0
33,Yaba_Branch,36,John Smith,23/03/2023,634562.79,150,5.96,8.6
46,Obalende_Branch,109,Sarah Lee,24/03/2023,401514.72,102,1.97,5.9
11,Ogba_Branch,94,Sarah Lee,25/03/2023,938170.43,189,-1.41,6.5
28,Ikoyi_Branch,54,Emily Davis,26/03/2023,675026.03,118,8.45,7.0
43,Ikota_Branch,95,Michael Johnson,27/03/2023,799047.06,152,3.58,9.7
34,Victoria_Island_Branch,141,David Brown,28/03/2023,855273.24,136,14.58,5.2
40,Ikota_Branch,82,Michael Johnson,29/03/2023,854918.63,115,18.76,9.7
9,Ojodu_Branch,64,John Smith,30/03/2023,432400.92,77,-4.2,8.9
39,Ikoyi_Branch,104,David Brown,31/03/2023,818414.97,108,-1.56,9.7
15,Lekki_Branch,122,Michael Johnson,01/04/2023,969483.47,77,12.0,6.6
15,Lekki_Branch,122,John Smith,02/04/2023,222806.13,184,7.65,8.7
27,Victoria_Island_Branch,4,Michael Johnson,03/04/2023,696928.75,102,15.04,6.9
18,Oba_AkranBranch,23,Sarah Lee,04/04/2023,678541.96,169,10.48,8.2
31,Obalende_Branch,149,David Brown,05/04/2023,835020.7,133,10.65,5.7
24,Ikoyi_Branch,12,David Brown,06/04/2023,940965.26,130,18.25,7.0
15,Ikoyi_Branch,79,David Brown,07/04/2023,488412.05,64,12.1,5.5
13,Oba_AkranBranch,15,Emily Davis,08/04/2023,180615.77,97,3.84,9.0
33,Ilupeju_Branch,111,Michael Johnson,09/04/2023,197001.06,157,-3.55,6.3
42,Ikoyi_Branch,37,Michael Johnson,10/04/2023,338056.33,123,8.65,5.1
18,Victoria_Island_Branch,38,David Brown,11/04/2023,390762.68,156,15.77,5.5
24,Ikota_Branch,103,Michael Johnson,12/04/2023,402054.83,57,15.17,8.1
6,Badagry_Branch,65,Emily Davis,13/04/2023,562109.82,197,18.17,9.3
42,Ilupeju_Branch,113,David Brown,14/04/2023,819772.77,92,16.88,5.9
22,Ajah_Branch,110,Sarah Lee,15/04/2023,310510.55,119,4.65,8.0
18,Badore_Branch,37,Emily Davis,16/04/2023,468679.45,77,-0.99,7.9
9,Ikoyi_Branch,146,Sarah Lee,17/04/2023,395360.14,141,9.99,9.4
43,Oba_AkranBranch,142,John Smith,18/04/2023,107378.14,189,8.22,5.2
28,Oba_AkranBranch,90,Michael Johnson,19/04/2023,710195.63,58,0.26,5.0
40,Ogba_Branch,47,Michael Johnson,20/04/2023,199252.0,168,7.04,8.8
33,Ikoyi_Branch,86,Sarah Lee,21/04/2023,640507.54,84,17.27,7.7
19,Ikota_Branch,129,David Brown,22/04/2023,496937.23,179,-3.0,7.3
39,Ikoyi_Branch,72,Emily Davis,23/04/2023,584760.1,168,10.74,9.7
43,Victoria_Island_Branch,74,David Brown,24/04/2023,130593.61,188,-2.33,5.5
10,Allen_Branch,106,David Brown,25/04/2023,897637.58,187,4.51,8.3
6,Badore_Branch,50,John Smith,26/04/2023,872663.0,83,4.65,5.3
38,Lekki_Branch,57,Michael Johnson,27/04/2023,762244.73,92,1.49,9.4
10,Agege_Branch,139,David Brown,28/04/2023,391543.76,96,15.73,7.1
48,Oba_AkranBranch,34,David Brown,29/04/2023,468509.27,100,-2.8,6.6
41,Surulere_Branch,15,John Smith,30/04/2023,223813.65,190,-3.06,6.9
46,Ikota_Branch,111,Michael Johnson,01/05/2023,428276.43,81,19.63,8.6
24,Freedom_park_Branch,117,John Smith,02/05/2023,557234.53,65,8.05,9.1
5,Oba_AkranBranch,126,Michael Johnson,03/05/2023,824921.09,72,0.51,8.4
37,Freedom_park_Branch,110,Sarah Lee,04/05/2023,208239.32,93,18.86,6.5
14,Yaba_Branch,65,Sarah Lee,05/05/2023,461867.92,170,-0.53,8.3
48,Ogba_Branch,135,David Brown,06/05/2023,623650.43,178,18.06,5.9
11,Freedom_park_Branch,90,John Smith,07/05/2023,750084.25,91,12.4,6.4
30,Badagry_Branch,97,Michael Johnson,08/05/2023,745791.48,53,15.61,10.0
29,Ajah_Branch,93,Sarah Lee,09/05/2023,357338.19,80,1.09,9.6
30,Computer_Village_Branch,132,Michael Johnson,10/05/2023,871953.05,186,19.7,6.6
44,Ojodu_Branch,109,John Smith,11/05/2023,786705.5,82,9.15,9.7
48,Yaba_Branch,52,John Smith,12/05/2023,244171.15,117,8.69,6.8
11,Computer_Village_Branch,80,Sarah Lee,13/05/2023,231201.21,63,18.98,5.2
22,Ojodu_Branch,136,Michael Johnson,14/05/2023,141948.49,153,5.4,5.7
38,Lekki_Branch,60,David Brown,15/05/2023,896735.25,106,0.87,6.0
3,Badore_Branch,14,Emily Davis,16/05/2023,118301.88,58,18.68,7.8
23,Ikota_Branch,14,Michael Johnson,17/05/2023,647819.47,165,-2.2,7.3
43,Ikota_Branch,20,Sarah Lee,18/05/2023,975851.16,171,13.77,5.6
1,Ogba_Branch,35,David Brown,19/05/2023,433228.26,181,9.48,9.5
35,Victoria_Island_Branch,126,Emily Davis,20/05/2023,242103.27,139,-2.7,9.6
40,Oba_AkranBranch,136,Michael Johnson,21/05/2023,811060.01,156,11.93,5.7
35,Obalende_Branch,29,Emily Davis,22/05/2023,441656.26,58,4.88,6.7
41,Marina_Branch,93,David Brown,23/05/2023,545654.71,199,13.33,9.7
7,Oba_AkranBranch,49,Michael Johnson,24/05/2023,460634.66,139,6.31,7.0
46,Yaba_Branch,53,John Smith,25/05/2023,483346.51,63,10.67,5.4
46,Victoria_Island_Branch,25,David Brown,26/05/2023,773975.33,68,-3.93,6.0
12,Ajah_Branch,71,David Brown,27/05/2023,589561.86,147,12.12,5.8
47,Computer_Village_Branch,13,Michael Johnson,28/05/2023,854728.73,87,12.56,8.4
37,Ikeja_Branch,50,John Smith,29/05/2023,952512.34,163,16.03,7.2
3,Ikota_Branch,5,David Brown,30/05/2023,362989.08,74,-1.99,7.7
13,Ikeja_Branch,43,David Brown,31/05/2023,260679.75,154,-4.05,5.1
48,Victoria_Island_Branch,83,Michael Johnson,01/06/2023,766557.54,168,-4.23,9.0
6,Badore_Branch,92,Emily Davis,02/06/2023,366561.04,58,15.75,9.0
22,Obalende_Branch,18,David Brown,03/06/2023,503914.81,110,4.9,5.9
42,Computer_Village_Branch,141,Emily Davis,04/06/2023,627509.05,140,7.69,5.8
41,Victoria_Island_Branch,79,David Brown,05/06/2023,819883.09,197,9.58,5.7
22,Ilupeju_Branch,82,John Smith,06/06/2023,329715.47,103,19.57,6.8
36,Ajah_Branch,54,Sarah Lee,07/06/2023,939529.33,118,12.7,6.7
6,Surulere_Branch,3,John Smith,08/06/2023,560430.12,107,-3.92,6.8
4,Ajah_Branch,81,David Brown,09/06/2023,179438.54,118,0.81,7.0
45,Victoria_Island_Branch,95,Michael Johnson,10/06/2023,136675.38,57,12.41,5.7
20,Marina_Branch,111,Michael Johnson,11/06/2023,669638.8,133,15.31,9.8
